locus_tag,gene_name,chrom,start,end,strand,promoter_start,promoter_end
STBHUCCB_RS00165,STBHUCCB_RS00165,NC_016832.1,35339,37057,+,35039,35388
STBHUCCB_RS00170,STBHUCCB_RS00170,NC_016832.1,37103,38674,-,38624,38973
STBHUCCB_RS00175,STBHUCCB_RS00175,NC_016832.1,38773,39534,-,39484,39833
STBHUCCB_RS00180,STBHUCCB_RS00180,NC_016832.1,40128,41621,+,39828,40177
STBHUCCB_RS00185,STBHUCCB_RS00185,NC_016832.1,41720,42910,+,41420,41769
STBHUCCB_RS00195,STBHUCCB_RS00195,NC_016832.1,44308,46023,+,44008,44357
STBHUCCB_RS00200,nhaA,NC_016832.1,46186,47352,+,45886,46235
STBHUCCB_RS00205,nhaR,NC_016832.1,47414,48313,+,47114,47463
STBHUCCB_RS00210,STBHUCCB_RS00210,NC_016832.1,48368,50407,-,50357,50706
STBHUCCB_RS00215,STBHUCCB_RS00215,NC_016832.1,50447,51820,-,51770,52119
STBHUCCB_RS26915,STBHUCCB_RS26915,NC_016832.1,51978,52223,-,52173,52522
STBHUCCB_RS00220,rpsT,NC_016832.1,52277,52540,-,52490,52839
STBHUCCB_RS00225,STBHUCCB_RS00225,NC_016832.1,52646,52861,+,52346,52695
STBHUCCB_RS00230,ribF,NC_016832.1,52869,53807,+,52569,52918
STBHUCCB_RS00235,ileS,NC_016832.1,53852,56686,+,53552,53901
STBHUCCB_RS00240,lspA,NC_016832.1,56686,57186,+,56386,56735
STBHUCCB_RS00245,fkpB,NC_016832.1,57341,57790,+,57041,57390
STBHUCCB_RS00250,ispH,NC_016832.1,57793,58743,+,57493,57842
STBHUCCB_RS00255,STBHUCCB_RS00255,NC_016832.1,58943,60145,+,58643,58992
STBHUCCB_RS00260,rihC,NC_016832.1,60161,61081,+,59861,60210
STBHUCCB_RS00265,citB,NC_016832.1,61103,61789,-,61739,62088
STBHUCCB_RS00270,citA,NC_016832.1,61791,63410,-,63360,63709
STBHUCCB_RS00275,STBHUCCB_RS00275,NC_016832.1,63545,64846,-,64796,65145
STBHUCCB_RS00280,oadA,NC_016832.1,64859,66634,-,66584,66933
STBHUCCB_RS00285,STBHUCCB_RS00285,NC_016832.1,66650,66889,-,66839,67188
STBHUCCB_RS00290,citS,NC_016832.1,67048,68388,-,68338,68687
STBHUCCB_RS00295,citC,NC_016832.1,68633,69676,+,68333,68682
STBHUCCB_RS00300,citD,NC_016832.1,69706,69999,+,69406,69755
STBHUCCB_RS00305,citE,NC_016832.1,69996,70865,+,69696,70045
STBHUCCB_RS00310,citF,NC_016832.1,70876,72396,+,70576,70925
STBHUCCB_RS00315,citX,NC_016832.1,72396,72947,+,72096,72445
STBHUCCB_RS00320,citG,NC_016832.1,72925,73833,+,72625,72974
STBHUCCB_RS00325,dapB,NC_016832.1,74013,74834,+,73713,74062
STBHUCCB_RS00330,carA,NC_016832.1,75696,76844,+,75396,75745
STBHUCCB_RS00335,carB,NC_016832.1,76860,80087,+,76560,76909
STBHUCCB_RS00340,caiF,NC_016832.1,80361,80756,+,80061,80410
STBHUCCB_RS00345,caiE,NC_016832.1,80834,81430,-,81380,81729
STBHUCCB_RS00350,caiD,NC_016832.1,81542,82327,-,82277,82626
STBHUCCB_RS00355,caiC,NC_016832.1,82381,83934,-,83884,84233
STBHUCCB_RS00360,caiB,NC_016832.1,83997,85214,-,85164,85513
STBHUCCB_RS00365,caiA,NC_016832.1,85326,86468,-,86418,86767
STBHUCCB_RS00370,caiT,NC_016832.1,86503,88020,-,87970,88319
STBHUCCB_RS00380,STBHUCCB_RS00380,NC_016832.1,88501,89271,+,88201,88550
STBHUCCB_RS00385,STBHUCCB_RS00385,NC_016832.1,89287,90228,+,88987,89336
STBHUCCB_RS00390,STBHUCCB_RS00390,NC_016832.1,90278,91564,+,89978,90327
STBHUCCB_RS00395,fixX,NC_016832.1,91561,91848,+,91261,91610
STBHUCCB_RS00400,STBHUCCB_RS00400,NC_016832.1,91996,93336,+,91696,92045
STBHUCCB_RS00405,STBHUCCB_RS00405,NC_016832.1,93425,93655,+,93125,93474
STBHUCCB_RS00410,STBHUCCB_RS00410,NC_016832.1,93946,94362,+,93646,93995
STBHUCCB_RS00415,srfN,NC_016832.1,94586,94876,-,94826,95175
STBHUCCB_RS00435,kefF,NC_016832.1,98069,98599,+,97769,98118
STBHUCCB_RS00440,kefC,NC_016832.1,98592,100454,+,98292,98641
STBHUCCB_RS00445,folA,NC_016832.1,100653,101132,+,100353,100702
STBHUCCB_RS00450,apaH,NC_016832.1,101228,102076,-,102026,102375
STBHUCCB_RS00455,apaG,NC_016832.1,102087,102464,-,102414,102763
STBHUCCB_RS00460,rsmA,NC_016832.1,102467,103288,-,103238,103587
STBHUCCB_RS00465,pdxA,NC_016832.1,103285,104274,-,104224,104573
STBHUCCB_RS00470,surA,NC_016832.1,104274,105560,-,105510,105859
STBHUCCB_RS00475,lptD,NC_016832.1,105614,107968,-,107918,108267
STBHUCCB_RS00480,djlA,NC_016832.1,108222,109034,+,107922,108271
STBHUCCB_RS00485,rluA,NC_016832.1,109129,109788,-,109738,110087
STBHUCCB_RS00490,rapA,NC_016832.1,109800,112706,-,112656,113005
STBHUCCB_RS00495,polB,NC_016832.1,112880,115231,-,115181,115530
STBHUCCB_RS00505,tnpA,NC_016832.1,115571,116011,-,115961,116310
STBHUCCB_RS00510,STBHUCCB_RS00510,NC_016832.1,116034,117239,+,115734,116083
STBHUCCB_RS00520,STBHUCCB_RS00520,NC_016832.1,118231,118650,+,117931,118280
STBHUCCB_RS00525,araD,NC_016832.1,118656,119351,-,119301,119650
STBHUCCB_RS00530,araA,NC_016832.1,119492,120994,-,120944,121293
STBHUCCB_RS00535,araB,NC_016832.1,121005,122714,-,122664,123013
STBHUCCB_RS00540,araC,NC_016832.1,123055,123900,+,122755,123104
STBHUCCB_RS00545,STBHUCCB_RS00545,NC_016832.1,124019,124786,+,123719,124068
STBHUCCB_RS00550,thiQ,NC_016832.1,124825,125532,-,125482,125831
STBHUCCB_RS00555,thiP,NC_016832.1,125516,127126,-,127076,127425
STBHUCCB_RS00560,thiB,NC_016832.1,127102,128085,-,128035,128384
STBHUCCB_RS00565,sgrR,NC_016832.1,128263,129921,-,129871,130220
STBHUCCB_RS00570,sgrT,NC_016832.1,130014,130136,+,129714,130063
STBHUCCB_RS00575,leuD,NC_016832.1,130471,131076,-,131026,131375
STBHUCCB_RS00580,leuC,NC_016832.1,131087,132487,-,132437,132786
STBHUCCB_RS00585,leuB,NC_016832.1,132490,133581,-,133531,133880
STBHUCCB_RS00590,leuA,NC_016832.1,133581,135152,-,135102,135451
STBHUCCB_RS00595,leuL,NC_016832.1,135240,135326,-,135276,135625
STBHUCCB_RS00600,leuO,NC_016832.1,135983,136927,+,135683,136032
STBHUCCB_RS00605,ilvI,NC_016832.1,137249,138973,+,136949,137298
STBHUCCB_RS00610,ilvN,NC_016832.1,138976,139467,+,138676,139025
STBHUCCB_RS00615,cra,NC_016832.1,139751,140755,+,139451,139800
STBHUCCB_RS00620,mraZ,NC_016832.1,141361,141819,+,141061,141410
STBHUCCB_RS00625,rsmH,NC_016832.1,141821,142762,+,141521,141870
STBHUCCB_RS00630,ftsL,NC_016832.1,142759,143124,+,142459,142808
STBHUCCB_RS00635,ftsI,NC_016832.1,143140,144906,+,142840,143189
STBHUCCB_RS00640,murE,NC_016832.1,144893,146380,+,144593,144942
STBHUCCB_RS00645,murF,NC_016832.1,146377,147735,+,146077,146426
STBHUCCB_RS00650,mraY,NC_016832.1,147729,148811,+,147429,147778
STBHUCCB_RS00655,murD,NC_016832.1,148814,150130,+,148514,148863
STBHUCCB_RS00660,ftsW,NC_016832.1,150130,151374,+,149830,150179
STBHUCCB_RS00665,murG,NC_016832.1,151371,152438,+,151071,151420
STBHUCCB_RS00670,murC,NC_016832.1,152557,154032,+,152257,152606
STBHUCCB_RS00675,STBHUCCB_RS00675,NC_016832.1,154025,154945,+,153725,154074
STBHUCCB_RS00680,ftsQ,NC_016832.1,154947,155777,+,154647,154996
STBHUCCB_RS00685,ftsA,NC_016832.1,155774,157036,+,155474,155823
STBHUCCB_RS00690,ftsZ,NC_016832.1,157097,158248,+,156797,157146
STBHUCCB_RS00695,lpxC,NC_016832.1,158349,159266,+,158049,158398
STBHUCCB_RS00700,secM,NC_016832.1,159548,160045,+,159248,159597
STBHUCCB_RS00705,secA,NC_016832.1,160107,162812,+,159807,160156
STBHUCCB_RS00710,mutT,NC_016832.1,162968,163363,+,162668,163017
STBHUCCB_RS00715,STBHUCCB_RS00715,NC_016832.1,163397,164386,-,164336,164685
STBHUCCB_RS00720,STBHUCCB_RS00720,NC_016832.1,164472,165413,+,164172,164521
STBHUCCB_RS00725,yacG,NC_016832.1,165410,165601,-,165551,165900
STBHUCCB_RS00730,zapD,NC_016832.1,165611,166354,-,166304,166653
STBHUCCB_RS00735,coaE,NC_016832.1,166354,166974,-,166924,167273
STBHUCCB_RS00740,STBHUCCB_RS00740,NC_016832.1,167200,168243,+,166900,167249
STBHUCCB_RS00745,hofC,NC_016832.1,168274,169476,-,169426,169775
STBHUCCB_RS00750,gspE,NC_016832.1,169466,170851,-,170801,171150
STBHUCCB_RS00755,ppdD,NC_016832.1,170861,171298,-,171248,171597
STBHUCCB_RS00760,nadC,NC_016832.1,171520,172413,-,172363,172712
STBHUCCB_RS00765,ampD,NC_016832.1,172501,173064,+,172201,172550
STBHUCCB_RS00770,ampE,NC_016832.1,173061,173915,+,172761,173110
STBHUCCB_RS00775,STBHUCCB_RS00775,NC_016832.1,174007,174957,-,174907,175256
STBHUCCB_RS00780,STBHUCCB_RS00780,NC_016832.1,174957,176363,-,176313,176662
STBHUCCB_RS00785,aroP,NC_016832.1,176527,177900,-,177850,178199
STBHUCCB_RS00790,pdhR,NC_016832.1,178463,179227,+,178163,178512
STBHUCCB_RS00795,aceE,NC_016832.1,179387,182050,+,179087,179436
STBHUCCB_RS00800,aceF,NC_016832.1,182065,183954,+,181765,182114
STBHUCCB_RS00805,lpdA,NC_016832.1,184156,185580,+,183856,184205
STBHUCCB_RS00810,STBHUCCB_RS00810,NC_016832.1,185869,186153,+,185569,185918
STBHUCCB_RS00815,STBHUCCB_RS00815,NC_016832.1,186191,186982,-,186932,187281
STBHUCCB_RS00820,STBHUCCB_RS00820,NC_016832.1,186995,188617,-,188567,188916
STBHUCCB_RS00825,acnB,NC_016832.1,189006,191603,+,188706,189055
STBHUCCB_RS00830,yacL,NC_016832.1,191791,192153,+,191491,191840
STBHUCCB_RS00835,STBHUCCB_RS00835,NC_016832.1,192388,193341,+,192088,192437
STBHUCCB_RS00840,dtnK,NC_016832.1,193338,194609,+,193038,193387
STBHUCCB_RS00845,STBHUCCB_RS00845,NC_016832.1,194599,195582,+,194299,194648
STBHUCCB_RS00850,STBHUCCB_RS00850,NC_016832.1,195592,196359,+,195292,195641
STBHUCCB_RS00855,speD,NC_016832.1,196389,197183,-,197133,197482
STBHUCCB_RS00860,speE,NC_016832.1,197204,198064,-,198014,198363
STBHUCCB_RS00865,STBHUCCB_RS00865,NC_016832.1,198171,198518,-,198468,198817
STBHUCCB_RS00870,cueO,NC_016832.1,198720,200330,+,198420,198769
STBHUCCB_RS00875,STBHUCCB_RS00875,NC_016832.1,200408,202798,-,202748,203097
STBHUCCB_RS00880,hpt,NC_016832.1,203004,203540,+,202704,203053
STBHUCCB_RS00885,can,NC_016832.1,203598,204260,-,204210,204559
STBHUCCB_RS00890,STBHUCCB_RS00890,NC_016832.1,204369,205295,+,204069,204418
STBHUCCB_RS00895,STBHUCCB_RS00895,NC_016832.1,205292,206062,+,204992,205341
STBHUCCB_RS00900,STBHUCCB_RS00900,NC_016832.1,206167,206607,+,205867,206216
STBHUCCB_RS00905,STBHUCCB_RS00905,NC_016832.1,206669,207898,+,206369,206718
STBHUCCB_RS00910,panD,NC_016832.1,207905,208285,-,208235,208584
STBHUCCB_RS00915,panC,NC_016832.1,208380,209234,-,209184,209533
STBHUCCB_RS00920,panB,NC_016832.1,209360,210154,-,210104,210453
STBHUCCB_RS00925,STBHUCCB_RS00925,NC_016832.1,210264,211439,-,211389,211738
STBHUCCB_RS00930,STBHUCCB_RS00930,NC_016832.1,211476,212060,-,212010,212359
STBHUCCB_RS00935,staE,NC_016832.1,212072,212680,-,212630,212979
STBHUCCB_RS00940,STBHUCCB_RS00940,NC_016832.1,212695,213261,-,213211,213560
STBHUCCB_RS00945,staC,NC_016832.1,213248,215854,-,215804,216153
STBHUCCB_RS00950,STBHUCCB_RS00950,NC_016832.1,215914,216648,-,216598,216947
STBHUCCB_RS00955,STBHUCCB_RS00955,NC_016832.1,216827,217411,-,217361,217710
STBHUCCB_RS00960,folK,NC_016832.1,217806,218285,-,218235,218584
STBHUCCB_RS00965,pcnB,NC_016832.1,218282,219679,-,219629,219978
STBHUCCB_RS00970,gluQRS,NC_016832.1,219841,220737,-,220687,221036
STBHUCCB_RS00975,dksA,NC_016832.1,220806,221261,-,221211,221560
STBHUCCB_RS00980,sfsA,NC_016832.1,221438,222142,-,222092,222441
STBHUCCB_RS00985,thpR,NC_016832.1,222159,222689,-,222639,222988
STBHUCCB_RS00990,hrpB,NC_016832.1,222762,225191,+,222462,222811
STBHUCCB_RS00995,mrcB,NC_016832.1,225332,227854,+,225032,225381
STBHUCCB_RS01005,fhuC,NC_016832.1,230387,231184,+,230087,230436
STBHUCCB_RS01010,fhuD,NC_016832.1,231184,232074,+,230884,231233
STBHUCCB_RS01015,fhuB,NC_016832.1,232089,234128,+,231789,232138
STBHUCCB_RS01020,hemL,NC_016832.1,234219,235499,-,235449,235798
STBHUCCB_RS01025,clcA,NC_016832.1,235669,237090,+,235369,235718
STBHUCCB_RS01030,erpA,NC_016832.1,237172,237516,+,236872,237221
STBHUCCB_RS01035,STBHUCCB_RS01035,NC_016832.1,237617,238240,-,238190,238539
STBHUCCB_RS01040,btuF,NC_016832.1,238277,239077,-,239027,239376
STBHUCCB_RS01045,mtnN,NC_016832.1,239070,239768,-,239718,240067
STBHUCCB_RS01050,dgt,NC_016832.1,239853,241370,+,239553,239902
STBHUCCB_RS01055,degP,NC_016832.1,241500,242927,+,241200,241549
STBHUCCB_RS01060,cdaR,NC_016832.1,243080,244237,+,242780,243129
STBHUCCB_RS01065,STBHUCCB_RS01065,NC_016832.1,244326,244712,-,244662,245011
STBHUCCB_RS01075,dapD,NC_016832.1,246298,247122,-,247072,247421
STBHUCCB_RS01080,glnD,NC_016832.1,247152,249824,-,249774,250123
STBHUCCB_RS01085,map,NC_016832.1,249937,250731,-,250681,251030
STBHUCCB_RS01090,rpsB,NC_016832.1,251181,251906,+,250881,251230
STBHUCCB_RS01095,tsf,NC_016832.1,252164,253015,+,251864,252213
STBHUCCB_RS01100,pyrH,NC_016832.1,253160,253885,+,252860,253209
STBHUCCB_RS01105,frr,NC_016832.1,254032,254589,+,253732,254081
STBHUCCB_RS01110,ispC,NC_016832.1,254731,255927,+,254431,254780
STBHUCCB_RS01115,ispU,NC_016832.1,256240,256998,+,255940,256289
STBHUCCB_RS01120,cdsA,NC_016832.1,257011,257868,+,256711,257060
STBHUCCB_RS01125,rseP,NC_016832.1,257880,259232,+,257580,257929
STBHUCCB_RS01130,bamA,NC_016832.1,259264,261675,+,258964,259313
STBHUCCB_RS01135,skp,NC_016832.1,261798,262283,+,261498,261847
STBHUCCB_RS01140,lpxD,NC_016832.1,262287,263312,+,261987,262336
STBHUCCB_RS01145,fabZ,NC_016832.1,263418,263873,+,263118,263467
STBHUCCB_RS01150,lpxA,NC_016832.1,263877,264665,+,263577,263926
STBHUCCB_RS01155,lpxB,NC_016832.1,264665,265813,+,264365,264714
STBHUCCB_RS01160,rnhB,NC_016832.1,265810,266406,+,265510,265859
STBHUCCB_RS01165,dnaE,NC_016832.1,266430,269912,+,266130,266479
STBHUCCB_RS01170,accA,NC_016832.1,269925,270884,+,269625,269974
STBHUCCB_RS01175,tnpA,NC_016832.1,271076,271534,+,270776,271125
STBHUCCB_RS01185,ldcC,NC_016832.1,273613,275754,+,273313,273662
STBHUCCB_RS01190,STBHUCCB_RS01190,NC_016832.1,275810,276199,+,275510,275859
STBHUCCB_RS01195,tilS,NC_016832.1,276262,277554,+,275962,276311
STBHUCCB_RS01200,rof,NC_016832.1,277638,277898,-,277848,278197
STBHUCCB_RS01205,STBHUCCB_RS01205,NC_016832.1,277885,278085,-,278035,278384
STBHUCCB_RS01210,STBHUCCB_RS01210,NC_016832.1,278283,278828,+,277983,278332
STBHUCCB_RS01215,arfB,NC_016832.1,278825,279247,+,278525,278874
STBHUCCB_RS01220,nlpE,NC_016832.1,279279,279980,+,278979,279328
STBHUCCB_RS01225,tnpA,NC_016832.1,280088,280546,-,280496,280845
STBHUCCB_RS01230,proS,NC_016832.1,280765,282483,-,282433,282782
STBHUCCB_RS01235,tsaA,NC_016832.1,282594,283301,-,283251,283600
STBHUCCB_RS01240,rcsF,NC_016832.1,283298,283702,-,283652,284001
STBHUCCB_RS01245,metQ,NC_016832.1,283821,284636,-,284586,284935
STBHUCCB_RS01250,STBHUCCB_RS01250,NC_016832.1,284675,285328,-,285278,285627
STBHUCCB_RS01255,metN,NC_016832.1,285321,286352,-,286302,286651
STBHUCCB_RS01260,gmhB,NC_016832.1,286542,287108,+,286242,286591
STBHUCCB_RS01265,STBHUCCB_RS01265,NC_016832.1,287479,289020,+,287179,287528
STBHUCCB_RS01270,STBHUCCB_RS01270,NC_016832.1,289106,289181,+,288806,289155
STBHUCCB_RS01275,STBHUCCB_RS01275,NC_016832.1,289375,292380,+,289075,289424
STBHUCCB_RS01280,rrf,NC_016832.1,292483,292598,+,292183,292532
STBHUCCB_RS01285,STBHUCCB_RS01285,NC_016832.1,293023,293478,+,292723,293072
STBHUCCB_RS01290,STBHUCCB_RS01290,NC_016832.1,293582,294883,+,293282,293631
STBHUCCB_RS01295,STBHUCCB_RS01295,NC_016832.1,294880,295203,-,295153,295502
STBHUCCB_RS01300,pssA,NC_016832.1,295248,296603,-,296553,296902
STBHUCCB_RS01305,pat,NC_016832.1,296718,299378,-,299328,299677
STBHUCCB_RS01310,tapT,NC_016832.1,299432,300112,-,300062,300411
STBHUCCB_RS01315,trxC,NC_016832.1,300185,300604,-,300554,300903
STBHUCCB_RS01320,STBHUCCB_RS01320,NC_016832.1,300808,301845,+,300508,300857
STBHUCCB_RS01325,ung,NC_016832.1,301961,302650,-,302600,302949
STBHUCCB_RS01330,grcA,NC_016832.1,302969,303352,+,302669,303018
STBHUCCB_RS01335,eamB,NC_016832.1,303414,304001,-,303951,304300
STBHUCCB_RS01345,srmB,NC_016832.1,305019,306353,-,306303,306652
STBHUCCB_RS01350,trmN,NC_016832.1,306483,307220,+,306183,306532
STBHUCCB_RS01355,nadB,NC_016832.1,307205,308827,-,308777,309126
STBHUCCB_RS26925,rseD,NC_016832.1,309091,309255,+,308791,309140
STBHUCCB_RS01360,rpoE,NC_016832.1,309252,309827,+,308952,309301
STBHUCCB_RS01365,rseA,NC_016832.1,309859,310509,+,309559,309908
STBHUCCB_RS01370,rseB,NC_016832.1,310509,311465,+,310209,310558
STBHUCCB_RS01375,rseC,NC_016832.1,311462,311941,+,311162,311511
STBHUCCB_RS01380,lepA,NC_016832.1,312200,313999,+,311900,312249
STBHUCCB_RS01385,lepB,NC_016832.1,314016,314990,+,313716,314065
STBHUCCB_RS01390,rnc,NC_016832.1,315264,315944,+,314964,315313
STBHUCCB_RS01395,era,NC_016832.1,315941,316846,+,315641,315990
STBHUCCB_RS01400,recO,NC_016832.1,316858,317586,+,316558,316907
STBHUCCB_RS01405,pdxJ,NC_016832.1,317598,318329,+,317298,317647
STBHUCCB_RS01410,acpS,NC_016832.1,318329,318709,+,318029,318378
STBHUCCB_RS01415,STBHUCCB_RS01415,NC_016832.1,318821,319081,-,319031,319380
STBHUCCB_RS01420,STBHUCCB_RS01420,NC_016832.1,319134,320045,-,319995,320344
STBHUCCB_RS01425,STBHUCCB_RS01425,NC_016832.1,320161,321357,+,319861,320210
STBHUCCB_RS01430,STBHUCCB_RS01430,NC_016832.1,321379,322296,+,321079,321428
STBHUCCB_RS01435,STBHUCCB_RS01435,NC_016832.1,322335,323183,-,323133,323482
STBHUCCB_RS01440,murQ,NC_016832.1,323299,324192,+,322999,323348
STBHUCCB_RS01445,STBHUCCB_RS01445,NC_016832.1,324203,325564,+,323903,324252
STBHUCCB_RS01450,yfhb,NC_016832.1,325568,326203,+,325268,325617
STBHUCCB_RS01455,tadA,NC_016832.1,326228,326779,+,325928,326277
STBHUCCB_RS01465,STBHUCCB_RS01465,NC_016832.1,328375,328605,-,328555,328904
STBHUCCB_RS01470,purL,NC_016832.1,328630,332517,+,328330,328679
STBHUCCB_RS01475,qseE,NC_016832.1,333167,334597,+,332867,333216
STBHUCCB_RS01480,qseG,NC_016832.1,334599,335363,+,334299,334648
STBHUCCB_RS01485,glrR,NC_016832.1,335363,336697,+,335063,335412
STBHUCCB_RS01490,glnB,NC_016832.1,336774,337112,+,336474,336823
STBHUCCB_RS01495,dtpD,NC_016832.1,337161,338621,-,338571,338920
STBHUCCB_RS01500,cadA,NC_016832.1,338677,340821,-,340771,341120
STBHUCCB_RS01505,cadB,NC_016832.1,340904,342235,-,342185,342534
STBHUCCB_RS01510,cadC,NC_016832.1,342584,344128,-,344078,344427
STBHUCCB_RS01515,hmpA,NC_016832.1,344309,345499,-,345449,345798
STBHUCCB_RS01520,glyA,NC_016832.1,345824,347077,+,345524,345873
STBHUCCB_RS01525,STBHUCCB_RS01525,NC_016832.1,347262,348401,+,346962,347311
STBHUCCB_RS01530,csiE,NC_016832.1,348396,349673,-,349623,349972
STBHUCCB_RS01535,STBHUCCB_RS01535,NC_016832.1,349799,350437,+,349499,349848
STBHUCCB_RS01545,asrC,NC_016832.1,351414,352427,-,352377,352726
STBHUCCB_RS01550,asrB,NC_016832.1,352438,353256,-,353206,353555
STBHUCCB_RS01555,asrA,NC_016832.1,353260,354303,-,354253,354602
STBHUCCB_RS01560,STBHUCCB_RS01560,NC_016832.1,354485,355363,-,355313,355662
STBHUCCB_RS01565,suhB,NC_016832.1,355508,356311,-,356261,356610
STBHUCCB_RS01570,trmJ,NC_016832.1,356430,357161,+,356130,356479
STBHUCCB_RS01575,iscR,NC_016832.1,357403,357897,+,357103,357452
STBHUCCB_RS01580,iscS,NC_016832.1,358078,359292,+,357778,358127
STBHUCCB_RS01585,iscU,NC_016832.1,359320,359706,+,359020,359369
STBHUCCB_RS01590,iscA,NC_016832.1,359735,360058,+,359435,359784
STBHUCCB_RS01595,hscB,NC_016832.1,360255,360770,+,359955,360304
STBHUCCB_RS01600,hscA,NC_016832.1,360783,362633,+,360483,360832
STBHUCCB_RS01605,fdx,NC_016832.1,362635,362970,+,362335,362684
STBHUCCB_RS01610,iscX,NC_016832.1,362982,363182,+,362682,363031
STBHUCCB_RS01615,pepB,NC_016832.1,363236,364519,+,362936,363285
STBHUCCB_RS01620,sseB,NC_016832.1,364629,365405,+,364329,364678
STBHUCCB_RS28040,timP,NC_016832.1,365442,365558,-,365508,365857
STBHUCCB_RS01625,STBHUCCB_RS01625,NC_016832.1,365974,366642,-,366592,366941
STBHUCCB_RS01630,sseA,NC_016832.1,366889,367731,-,367681,368030
STBHUCCB_RS01635,STBHUCCB_RS01635,NC_016832.1,367940,372874,+,367640,367989
STBHUCCB_RS01640,pbpC,NC_016832.1,372875,375190,+,372575,372924
STBHUCCB_RS01650,STBHUCCB_RS01650,NC_016832.1,377720,378349,+,377420,377769
STBHUCCB_RS01655,STBHUCCB_RS01655,NC_016832.1,378342,379151,+,378042,378391
STBHUCCB_RS01660,STBHUCCB_RS01660,NC_016832.1,379151,380014,+,378851,379200
STBHUCCB_RS01665,ndk,NC_016832.1,380135,380566,+,379835,380184
STBHUCCB_RS01670,STBHUCCB_RS01670,NC_016832.1,380773,381939,+,380473,380822
STBHUCCB_RS01675,rodZ,NC_016832.1,382233,383207,+,381933,382282
STBHUCCB_RS01680,ispG,NC_016832.1,383234,384352,+,382934,383283
STBHUCCB_RS01685,hisS,NC_016832.1,384463,385737,+,384163,384512
STBHUCCB_RS01690,STBHUCCB_RS01690,NC_016832.1,385751,386371,+,385451,385800
STBHUCCB_RS01695,bamB,NC_016832.1,386382,387560,+,386082,386431
STBHUCCB_RS01700,der,NC_016832.1,387679,389151,+,387379,387728
STBHUCCB_RS01705,STBHUCCB_RS01705,NC_016832.1,389240,389461,+,388940,389289
STBHUCCB_RS01720,STBHUCCB_RS01720,NC_016832.1,392057,393022,+,391757,392106
STBHUCCB_RS01725,STBHUCCB_RS01725,NC_016832.1,393160,399534,+,392860,393209
STBHUCCB_RS01755,xseA,NC_016832.1,412564,413913,-,413863,414212
STBHUCCB_RS01760,guaB,NC_016832.1,414074,415540,+,413774,414123
STBHUCCB_RS01765,guaA,NC_016832.1,415610,417187,+,415310,415659
STBHUCCB_RS01780,STBHUCCB_RS01780,NC_016832.1,418428,418967,-,418917,419266
STBHUCCB_RS01785,STBHUCCB_RS01785,NC_016832.1,418983,419477,-,419427,419776
