Ortholog_Group,ArcA,DcuR,Fnr,NarL,NarP,NsrR,TtrR
A628_RS03490,0,0,0,1,1,1,0
A628_RS03515,0,0,1,0,0,0,0
A628_RS03525,1,0,1,1,0,0,0
A628_RS03540,0,1,0,0,0,0,0
A628_RS03575,1,0,0,0,1,1,1
A628_RS03610,0,0,0,0,0,1,0
A628_RS03635,0,0,1,0,0,0,0
A628_RS03665,0,0,0,0,0,1,0
A628_RS03670,0,0,0,0,0,1,0
A628_RS03675,1,0,0,1,0,0,0
A628_RS03680,0,0,0,0,1,0,0
A628_RS03725,1,0,0,0,0,0,0
A628_RS03740,0,0,0,1,0,1,0
A628_RS03745,0,0,0,1,0,0,0
A628_RS03805,0,0,0,0,1,0,0
A628_RS03820,0,0,0,1,0,0,1
A628_RS03825,0,0,0,0,0,0,1
A628_RS03875,0,0,0,0,1,1,0
A628_RS03930,1,0,1,1,0,1,0
A628_RS03950,0,0,0,1,0,0,0
A628_RS03960,1,1,0,0,0,1,0
A628_RS03970,0,0,0,0,0,0,1
A628_RS03975,0,0,0,0,1,0,0
A628_RS03985,0,1,0,0,0,0,0
A628_RS03995,0,0,0,0,0,1,0
A628_RS04010,0,0,0,0,0,1,0
A628_RS04100,1,0,0,0,1,0,1
A628_RS04145,0,1,1,0,0,0,0
A628_RS04150,1,0,0,1,0,1,0
A628_RS04160,0,0,0,1,0,0,0
A628_RS04220,0,1,0,0,0,0,0
A628_RS04245,0,0,0,0,1,0,0
A628_RS04260,0,0,0,0,1,0,0
A628_RS04310,0,0,1,0,0,0,0
A628_RS04320,0,0,0,0,0,1,0
A628_RS04330,0,0,1,0,0,0,0
A628_RS04335,1,0,0,1,1,0,0
A628_RS04345,0,0,0,1,0,1,0
A628_RS04350,1,0,0,0,0,0,0
A628_RS04355,0,0,0,0,1,0,0
A628_RS04360,0,0,1,0,0,0,0
A628_RS04380,0,0,0,0,1,1,1
A628_RS04390,0,0,0,0,1,0,0
A628_RS04400,0,0,0,1,0,1,0
A628_RS04410,1,0,1,0,0,0,1
A628_RS04420,1,0,0,0,0,0,0
A628_RS04425,1,0,0,0,0,0,0
A628_RS04465,0,0,0,1,0,0,0
A628_RS04470,0,0,0,1,0,0,0
A628_RS04475,0,0,0,0,0,1,0
A628_RS04515,0,0,0,1,0,1,0
A628_RS04555,0,1,0,0,0,0,1
A628_RS04595,0,0,1,0,0,0,0
A628_RS04670,0,0,0,1,0,0,0
A628_RS04675,0,1,1,0,0,0,0
A628_RS04735,0,0,0,0,0,1,0
A628_RS04745,0,1,0,0,0,0,1
A628_RS04755,0,0,0,1,0,0,0
A628_RS04765,0,0,0,0,0,1,1
A628_RS04800,1,0,0,0,0,0,0
A628_RS04805,0,0,0,1,0,0,0
A628_RS04850,0,0,0,1,0,0,0
A628_RS04880,0,0,0,0,0,1,0
A628_RS04915,0,0,0,0,1,0,0
A628_RS04985,0,0,1,0,0,0,1
A628_RS04995,0,0,1,0,0,0,1
A628_RS05045,0,1,1,0,0,0,0
A628_RS05050,1,0,0,0,0,0,0
A628_RS05055,0,1,0,0,0,0,0
A628_RS05060,0,0,0,0,1,0,0
A628_RS05070,0,0,0,0,1,1,1
A628_RS05100,0,0,0,0,0,1,1
A628_RS05110,0,0,1,0,0,0,0
A628_RS05200,0,0,0,0,0,1,0
A628_RS05205,1,0,0,0,1,0,0
A628_RS05235,0,0,0,0,0,0,1
A628_RS05270,1,0,1,0,0,1,0
A628_RS05275,0,0,0,1,0,0,0
A628_RS05280,1,0,0,1,0,0,0
A628_RS05285,1,0,0,0,0,0,0
A628_RS05290,0,0,0,1,0,0,0
A628_RS05295,0,0,0,1,0,0,0
A628_RS05305,1,0,0,0,0,1,0
A628_RS05310,0,0,0,1,0,1,0
A628_RS05320,1,0,0,0,0,1,0
A628_RS05325,1,0,0,0,1,1,1
A628_RS05390,1,0,0,0,0,1,0
A628_RS05480,0,1,1,0,0,0,0
A628_RS05495,0,0,0,0,1,0,0
A628_RS05535,0,0,0,0,0,0,1
A628_RS05540,0,0,1,0,0,1,0
A628_RS05545,1,1,1,0,0,1,0
A628_RS05550,0,1,1,0,0,0,0
A628_RS05555,0,0,0,0,0,1,0
A628_RS05560,0,0,1,0,1,0,0
A628_RS05565,0,0,1,0,0,0,0
A628_RS05570,0,0,0,1,0,0,0
A628_RS05575,1,0,0,1,0,0,0
A628_RS05580,0,0,0,0,1,1,0
A628_RS05590,0,0,0,1,1,0,0
A628_RS05595,0,0,0,0,0,1,0
A628_RS05675,1,0,0,0,0,0,0
A628_RS05705,1,0,0,0,0,0,0
A628_RS05720,0,1,0,0,0,0,1
A628_RS05745,0,0,1,0,1,1,0
A628_RS05760,1,0,0,0,0,0,0
A628_RS05765,1,0,0,0,1,0,0
A628_RS05770,0,1,1,1,0,0,0
A628_RS05775,0,0,1,0,0,0,0
A628_RS05780,0,0,0,0,0,1,0
A628_RS05790,0,0,0,0,0,1,0
A628_RS05820,1,0,0,0,0,0,0
A628_RS05845,1,0,1,0,0,0,0
A628_RS05850,0,0,1,0,0,0,0
A628_RS05870,0,1,0,0,1,0,0
A628_RS05875,0,0,1,0,1,0,0
A628_RS05880,1,0,0,0,0,0,1
A628_RS05900,1,1,0,0,0,0,0
A628_RS05910,1,0,0,0,1,1,0
A628_RS05950,0,0,1,0,1,0,0
A628_RS05960,0,0,0,0,0,0,1
A628_RS05985,0,1,0,0,0,1,0
A628_RS06075,0,0,0,1,1,1,0
A628_RS06135,0,0,0,0,1,0,0
A628_RS06140,0,0,0,0,1,0,0
A628_RS06205,0,0,0,0,0,0,1
A628_RS06220,0,0,1,0,0,0,0
A628_RS06295,0,0,1,0,0,0,0
A628_RS06305,1,0,0,0,0,0,0
A628_RS06345,0,0,0,0,0,1,0
A628_RS06350,0,1,0,1,0,0,0
A628_RS06355,0,1,1,0,1,0,0
A628_RS06360,0,1,1,1,0,0,0
A628_RS06370,0,0,0,0,1,0,0
A628_RS06385,0,1,0,0,0,0,0
A628_RS06390,0,0,1,0,0,0,0
A628_RS06405,0,0,0,0,0,1,0
A628_RS06420,0,0,0,0,0,1,0
A628_RS06425,1,0,0,0,1,0,1
A628_RS06430,1,0,0,0,0,0,0
A628_RS06435,1,0,0,0,1,0,0
A628_RS06440,0,0,1,0,0,0,0
A628_RS06450,0,0,1,0,0,0,0
A628_RS06455,0,0,0,0,1,0,0
A628_RS06465,0,0,0,0,0,1,0
A628_RS06560,0,0,0,1,0,1,0
A628_RS06565,1,0,0,0,0,1,0
A628_RS06600,1,0,1,0,0,0,0
A628_RS06665,0,1,0,1,0,0,0
A628_RS06680,1,0,0,0,0,0,0
A628_RS06710,1,0,0,0,0,0,0
A628_RS06730,0,0,0,0,1,0,0
A628_RS06800,1,0,0,0,0,1,1
A628_RS06805,1,0,0,1,0,1,0
A628_RS06840,0,0,0,0,1,1,0
A628_RS06900,0,0,0,0,0,1,1
A628_RS06905,0,0,0,1,0,0,0
A628_RS06925,1,0,0,0,1,1,0
A628_RS06935,1,0,0,0,0,0,0
A628_RS06960,0,0,1,0,0,0,0
A628_RS06980,1,0,0,0,0,1,0
A628_RS06985,1,0,0,1,0,0,0
A628_RS06990,0,0,0,1,0,0,0
A628_RS07010,0,0,0,0,1,1,0
A628_RS07020,0,0,1,0,1,0,0
A628_RS07025,1,0,1,0,0,0,0
A628_RS07030,0,1,0,0,0,0,0
A628_RS07040,1,1,0,1,0,0,0
A628_RS07055,1,0,0,1,0,1,0
A628_RS07070,0,1,0,0,0,0,1
A628_RS07095,1,0,0,0,0,0,1
A628_RS07125,0,0,0,0,0,0,1
A628_RS07130,0,0,0,0,0,1,0
A628_RS07145,1,0,0,0,0,0,0
A628_RS07170,0,0,0,1,1,0,1
A628_RS07200,0,0,1,0,0,0,0
A628_RS07245,0,0,0,0,1,1,0
A628_RS07260,0,0,1,0,0,0,0
A628_RS07265,0,1,1,0,0,0,1
A628_RS07280,0,0,0,1,0,0,0
A628_RS07290,0,0,0,0,0,1,0
A628_RS07300,0,1,1,0,0,0,0
A628_RS07315,0,0,0,0,0,1,0
A628_RS07325,0,0,0,0,0,1,0
A628_RS07340,0,1,0,0,0,0,0
A628_RS07345,0,0,1,0,0,0,0
A628_RS07350,0,1,1,0,0,0,0
A628_RS07360,0,0,1,0,0,0,0
A628_RS07365,1,0,0,0,0,0,0
A628_RS07410,0,1,0,0,0,0,0
A628_RS07430,0,0,0,0,1,0,0
A628_RS07495,0,0,1,0,0,0,0
A628_RS07520,1,0,0,0,0,0,0
A628_RS07535,0,1,0,0,0,0,0
A628_RS07540,1,0,0,0,0,1,0
A628_RS07565,0,0,0,1,0,0,0
A628_RS07680,1,0,0,0,0,0,0
A628_RS07685,0,0,0,1,0,0,0
A628_RS07790,0,1,1,0,0,0,0
A628_RS07795,0,0,0,1,1,0,0
A628_RS07800,0,0,1,0,0,1,0
A628_RS07810,1,0,0,0,0,0,0
A628_RS07815,0,0,0,0,1,0,0
A628_RS07820,0,0,0,0,0,1,0
A628_RS07840,1,0,0,0,0,1,0
A628_RS07850,0,0,0,0,1,0,0
A628_RS07855,0,1,0,0,0,0,0
A628_RS07945,0,0,0,1,1,1,0
A628_RS07980,1,0,1,0,0,1,0
A628_RS07985,1,0,0,0,0,0,0
A628_RS07990,0,1,0,0,0,0,0
A628_RS07995,0,0,1,1,0,0,0
A628_RS08050,0,0,0,0,0,1,0
A628_RS08070,0,0,0,1,0,0,0
A628_RS08075,0,0,0,0,1,0,0
A628_RS08085,0,1,0,0,0,0,0
A628_RS08090,0,1,0,0,1,0,0
A628_RS08120,0,1,0,0,0,0,0
A628_RS08130,1,0,0,1,0,1,0
A628_RS08145,1,0,0,0,0,0,0
A628_RS08160,0,0,0,1,0,0,0
A628_RS08165,1,0,1,1,0,0,0
A628_RS08185,0,0,0,0,1,1,0
A628_RS08230,0,1,0,0,0,0,0
A628_RS08245,0,1,0,0,0,0,0
A628_RS08250,1,0,0,0,0,1,0
A628_RS08295,0,0,0,1,0,0,0
A628_RS08340,0,1,0,0,0,0,0
A628_RS08350,0,1,0,1,0,0,0
A628_RS08355,0,1,1,0,0,0,0
A628_RS08360,0,1,1,0,0,0,0
A628_RS08365,0,1,0,0,0,0,0
A628_RS08430,1,0,0,1,0,0,1
A628_RS08475,0,1,0,0,0,0,0
A628_RS08480,0,0,1,0,0,0,0
A628_RS08540,0,0,0,0,0,1,0
A628_RS08600,1,0,0,0,0,0,1
A628_RS08610,0,0,0,0,1,0,0
A628_RS08625,1,0,0,0,0,0,0
A628_RS08630,0,0,0,0,1,0,0
A628_RS08640,0,0,0,1,0,0,0
A628_RS08645,0,0,1,1,0,0,0
A628_RS08655,1,0,0,1,1,0,0
A628_RS08665,1,0,0,0,1,0,0
A628_RS08670,0,0,1,1,0,0,0
A628_RS08675,0,0,0,0,1,0,0
A628_RS08680,1,0,0,0,0,1,1
A628_RS08730,0,0,1,0,0,1,0
A628_RS08745,1,0,0,1,1,0,0
A628_RS08750,0,0,0,0,0,1,0
A628_RS08755,0,0,0,0,0,1,0
A628_RS08760,0,0,0,0,0,1,0
A628_RS08765,0,0,0,0,0,1,0
A628_RS08770,1,0,0,1,0,0,0
A628_RS08780,0,0,0,0,0,0,1
A628_RS08790,1,0,0,1,0,0,0
A628_RS08875,1,0,0,0,0,0,0
A628_RS08900,0,0,0,1,0,0,0
A628_RS09030,1,0,1,0,0,0,0
A628_RS09070,0,0,0,0,0,0,1
A628_RS09130,0,0,1,0,0,0,0
A628_RS09135,0,0,0,1,0,1,0
A628_RS09155,1,0,0,0,0,0,1
A628_RS09215,1,0,0,0,1,0,0
A628_RS09240,1,0,0,0,0,1,0
A628_RS09245,0,0,0,0,1,0,0
A628_RS09250,1,0,0,1,1,1,1
A628_RS09255,0,0,1,0,0,0,1
A628_RS09260,0,0,1,0,0,0,0
A628_RS09265,0,0,1,1,0,0,0
A628_RS09270,1,0,0,1,0,0,0
A628_RS09275,0,0,1,1,0,1,0
A628_RS09330,1,0,0,0,0,0,0
A628_RS09340,0,0,0,0,0,0,1
A628_RS09365,0,0,1,0,0,0,0
A628_RS09390,0,0,0,0,1,0,0
A628_RS09395,1,0,0,0,0,0,0
A628_RS09400,0,0,0,0,0,1,0
A628_RS09405,1,0,0,0,0,0,1
A628_RS09420,0,0,1,0,0,0,0
A628_RS09425,0,0,0,1,0,0,0
A628_RS09455,0,1,1,1,0,0,0
A628_RS09535,0,0,0,0,1,1,0
A628_RS09540,0,1,1,0,0,0,0
A628_RS09555,1,0,1,0,0,0,0
A628_RS09585,0,0,0,0,0,0,1
A628_RS09590,1,0,0,0,0,0,0
A628_RS09595,0,0,0,1,0,0,1
A628_RS09600,1,0,0,0,0,0,0
A628_RS09605,0,0,0,0,1,0,0
A628_RS09610,0,0,0,0,0,1,0
A628_RS09615,0,0,0,1,1,1,1
A628_RS09625,1,0,0,0,0,0,0
A628_RS09630,1,0,0,0,0,0,0
A628_RS09685,1,0,0,0,0,0,0
A628_RS09710,0,0,1,0,0,0,0
A628_RS09720,0,1,0,0,0,0,0
A628_RS09745,0,0,0,1,0,0,0
A628_RS09755,0,0,0,1,0,0,0
A628_RS09760,0,0,0,0,0,0,1
A628_RS09775,1,0,0,0,0,0,0
A628_RS09780,0,0,0,0,0,0,1
A628_RS09790,1,0,0,0,0,0,0
A628_RS09795,0,0,0,0,0,1,0
A628_RS09800,0,0,0,1,0,0,0
A628_RS09820,1,0,0,0,1,0,0
A628_RS09825,1,0,1,1,0,0,0
A628_RS09830,0,0,0,1,0,0,0
A628_RS09835,0,1,0,0,0,0,0
A628_RS09840,0,1,0,0,0,0,0
A628_RS09850,1,0,0,0,0,1,0
A628_RS09855,1,0,0,1,0,0,0
A628_RS09865,0,0,0,1,0,0,0
A628_RS09875,1,0,0,0,0,0,0
A628_RS09905,1,0,0,0,1,0,0
A628_RS09920,0,0,0,1,0,1,0
A628_RS09925,1,0,0,1,0,0,0
A628_RS09930,0,0,0,1,0,0,0
A628_RS09940,1,0,0,1,0,1,0
A628_RS09945,0,0,1,0,0,0,0
A628_RS09955,0,0,1,1,0,0,0
A628_RS09960,0,0,0,0,1,0,0
A628_RS09965,0,0,0,0,0,1,0
A628_RS09970,1,0,0,0,0,0,0
A628_RS09980,0,0,1,1,1,0,0
A628_RS09985,0,0,0,0,1,0,0
A628_RS09990,1,0,0,1,0,1,0
A628_RS09995,1,0,0,1,0,0,0
A628_RS10000,1,0,0,0,0,1,0
A628_RS10010,1,0,0,0,0,0,0
A628_RS10015,1,0,0,0,0,0,0
A628_RS10030,1,0,0,0,0,0,0
A628_RS10035,0,0,0,1,0,1,1
A628_RS10045,0,0,0,0,0,1,0
A628_RS10050,0,0,0,1,0,1,0
A628_RS10065,0,0,0,1,1,1,0
A628_RS10075,0,0,1,0,0,0,0
A628_RS10105,0,1,0,0,0,0,0
A628_RS10120,0,0,1,0,0,0,0
A628_RS10125,0,1,0,0,0,0,0
A628_RS10145,0,1,1,1,0,0,0
A628_RS10150,0,0,0,1,0,0,0
A628_RS10160,0,1,0,0,0,0,0
A628_RS10170,0,0,0,1,0,0,0
A628_RS10180,0,0,0,1,0,0,1
A628_RS10185,0,1,0,0,0,0,0
A628_RS10195,0,1,0,0,0,0,0
A628_RS10215,0,1,1,0,0,0,0
A628_RS10230,0,0,1,0,0,0,0
A628_RS10235,0,0,0,0,1,1,0
A628_RS10255,1,0,0,0,0,0,0
A628_RS10310,1,0,0,0,0,0,0
A628_RS10315,0,1,1,0,0,1,0
A628_RS10320,1,0,1,0,0,1,0
A628_RS10365,0,0,0,0,0,0,1
A628_RS10375,0,0,1,0,1,0,0
A628_RS10415,0,0,0,0,0,1,0
A628_RS10425,0,0,0,0,1,1,1
A628_RS10445,0,0,0,1,0,0,0
A628_RS10455,0,0,0,1,0,0,0
A628_RS10500,0,0,1,0,1,0,0
A628_RS10505,0,0,0,0,1,1,1
A628_RS10520,0,1,0,0,0,0,0
A628_RS10580,1,0,0,0,1,0,0
A628_RS10805,0,0,0,0,1,0,1
A628_RS10850,0,0,0,0,1,0,0
A628_RS10855,1,0,0,0,0,0,0
A628_RS10860,0,0,0,1,0,0,0
A628_RS10870,0,0,0,0,1,0,0
A628_RS10895,0,0,1,0,0,1,0
A628_RS10900,0,1,0,1,0,0,0
A628_RS10905,0,0,0,0,0,1,0
A628_RS10910,1,0,0,1,0,0,0
A628_RS11015,0,0,1,1,0,0,0
A628_RS11065,0,0,0,0,0,1,0
A628_RS11100,0,0,0,0,1,0,0
A628_RS11105,0,0,0,0,1,0,0
A628_RS11110,1,0,0,0,0,1,0
A628_RS11120,1,1,0,0,1,0,1
A628_RS11125,1,1,0,0,0,0,0
A628_RS11130,0,0,0,0,0,1,0
A628_RS11135,0,0,1,1,0,1,0
A628_RS11175,0,0,0,0,1,0,0
A628_RS11190,0,0,0,0,1,0,0
A628_RS11200,0,0,0,0,0,1,0
A628_RS11210,0,0,0,1,0,0,0
A628_RS11215,1,0,0,0,0,0,0
A628_RS11220,1,0,0,0,1,0,0
A628_RS11225,0,0,0,0,0,0,1
A628_RS11245,1,1,0,0,0,0,0
A628_RS11255,0,0,0,1,1,1,0
A628_RS11260,0,0,0,0,0,1,0
A628_RS11275,0,0,0,0,0,0,1
A628_RS11285,0,0,0,0,0,1,0
A628_RS11295,0,0,0,0,1,0,0
A628_RS11300,0,1,1,0,0,0,0
A628_RS11340,0,1,0,0,0,0,0
A628_RS11345,1,0,0,0,0,0,1
A628_RS11400,0,0,0,0,0,1,0
A628_RS11535,0,0,1,0,1,0,0
A628_RS11555,0,0,0,0,1,0,0
A628_RS11565,0,0,0,0,0,1,0
A628_RS11580,0,0,0,0,0,1,0
A628_RS11700,1,0,0,0,0,0,0
A628_RS11715,0,0,1,0,0,0,0
A628_RS11780,1,0,0,0,0,0,0
A628_RS11785,0,0,0,0,1,0,0
A628_RS11815,1,0,0,0,0,1,0
A628_RS11820,0,0,1,0,0,0,0
A628_RS11825,1,0,1,0,0,1,0
A628_RS11865,0,0,0,0,0,1,0
A628_RS11870,1,0,0,0,0,0,0
A628_RS11875,0,0,1,0,0,0,0
A628_RS11890,0,0,0,0,0,0,1
A628_RS11910,0,1,0,0,0,0,0
A628_RS11930,0,1,0,0,0,1,0
A628_RS11955,0,0,1,0,0,0,0
A628_RS11965,0,0,1,0,0,0,0
A628_RS11970,0,0,0,0,0,1,0
A628_RS11975,1,0,0,0,1,0,0
A628_RS12065,0,0,1,0,0,0,0
A628_RS12070,0,0,0,1,0,0,0
A628_RS12075,1,0,0,0,0,0,0
