Gene_ID,ArcA,DcuR,Fnr,NarL,NarP,NsrR,TtrR
A628_RS00525,0,0,0,1,1,0,0
A628_RS00530,0,0,0,1,0,0,0
A628_RS00535,1,0,0,0,0,0,0
A628_RS00540,0,0,0,0,0,1,0
A628_RS00545,0,0,0,1,0,0,0
A628_RS00555,0,0,0,0,1,1,0
A628_RS00560,1,0,0,0,1,0,0
A628_RS00565,0,0,0,0,0,1,0
A628_RS00570,0,1,0,0,0,0,0
A628_RS00575,0,1,0,0,0,0,0
A628_RS00580,1,0,0,0,0,0,1
A628_RS00585,0,0,0,0,1,0,0
A628_RS00590,0,0,0,1,1,0,0
A628_RS00595,0,0,0,0,1,0,0
A628_RS00605,0,0,1,0,0,0,0
A628_RS00610,0,0,1,0,0,0,0
A628_RS00615,0,0,1,0,0,0,1
A628_RS00620,0,0,0,1,1,1,0
A628_RS00625,0,0,0,1,0,0,0
A628_RS00630,1,1,1,0,0,0,0
A628_RS00635,0,1,1,0,0,1,0
A628_RS00640,0,1,1,0,0,0,1
A628_RS00655,1,0,1,0,0,0,0
A628_RS00660,0,1,0,0,0,1,0
A628_RS00670,0,0,0,0,0,1,0
A628_RS00675,0,0,0,0,1,0,0
A628_RS00680,0,0,0,0,1,0,0
A628_RS00685,0,0,1,0,0,1,0
A628_RS00690,0,0,1,0,0,0,0
A628_RS00700,1,0,0,0,0,0,0
A628_RS00715,0,0,0,1,0,0,0
A628_RS00720,0,0,1,0,0,0,0
A628_RS00730,0,0,0,0,1,0,0
A628_RS00745,0,0,0,0,1,0,0
A628_RS00750,0,1,1,1,0,0,0
A628_RS00755,0,0,1,1,0,1,0
A628_RS00765,0,0,0,1,0,1,0
A628_RS00795,0,1,0,0,0,0,0
A628_RS00815,0,0,0,0,1,0,0
A628_RS00820,0,0,0,0,0,1,0
A628_RS00825,0,1,0,0,0,0,0
A628_RS00830,0,0,0,0,1,0,0
A628_RS00840,0,1,0,0,0,0,0
A628_RS00845,1,0,0,0,1,0,0
A628_RS00850,0,0,0,1,0,0,0
A628_RS00860,0,0,1,0,0,0,1
A628_RS00865,0,0,0,1,0,1,1
A628_RS00880,1,0,0,0,0,1,0
A628_RS00885,0,0,0,0,0,1,0
A628_RS00890,1,0,0,0,0,0,0
A628_RS00895,0,0,0,1,1,0,0
A628_RS00900,0,0,0,0,0,0,1
A628_RS00905,0,0,1,0,1,0,0
A628_RS00910,0,0,1,0,1,0,0
A628_RS00925,1,0,0,1,0,0,0
A628_RS00930,0,0,0,0,0,1,0
A628_RS00935,0,0,0,0,1,0,0
A628_RS00940,0,0,0,0,0,1,0
A628_RS00945,1,0,0,0,0,0,0
A628_RS00950,0,0,0,1,0,1,0
A628_RS00955,0,0,0,0,1,0,1
A628_RS00960,0,0,0,0,0,1,0
A628_RS00970,0,0,0,0,1,0,0
A628_RS00985,0,0,1,0,0,0,0
A628_RS01005,1,0,0,0,0,0,0
A628_RS01015,0,0,0,1,0,0,1
A628_RS01020,0,0,0,0,0,1,0
A628_RS01025,1,0,0,0,0,1,0
A628_RS01030,0,0,0,0,0,0,1
A628_RS01035,0,1,0,0,0,0,1
A628_RS01040,0,1,0,0,0,0,0
A628_RS01055,0,0,0,1,0,0,0
A628_RS01060,0,0,1,0,1,0,0
A628_RS01065,0,0,0,0,0,1,0
A628_RS01070,1,1,1,0,0,1,0
A628_RS01075,0,0,0,0,0,1,0
A628_RS01080,0,0,0,0,0,1,0
A628_RS01085,1,1,1,0,0,0,0
A628_RS01100,0,0,1,0,0,0,0
A628_RS01105,0,1,0,0,0,0,0
A628_RS01110,0,1,0,0,0,0,0
A628_RS01135,0,0,1,0,0,0,0
A628_RS01140,1,0,0,0,0,1,0
A628_RS01145,0,0,0,0,1,1,0
A628_RS01155,0,0,0,0,1,0,0
A628_RS01160,1,1,0,1,0,0,0
A628_RS01165,0,0,0,0,1,0,0
A628_RS01175,0,0,1,0,0,0,0
A628_RS01180,1,0,0,0,0,0,0
A628_RS01200,0,1,0,0,0,0,0
A628_RS01210,0,1,0,0,0,0,1
A628_RS01215,0,0,0,0,1,0,0
A628_RS01220,0,0,0,0,1,0,0
A628_RS01225,0,0,0,1,0,1,0
A628_RS01240,0,0,0,0,0,0,1
A628_RS01245,0,0,0,0,1,0,0
A628_RS01250,1,0,0,1,0,1,0
A628_RS01255,0,1,0,0,1,0,0
A628_RS01260,0,0,0,0,0,1,0
A628_RS01265,0,1,1,1,0,0,0
A628_RS01270,0,1,0,0,0,0,0
A628_RS01280,0,0,0,0,0,0,1
A628_RS01285,0,0,0,0,0,0,1
A628_RS01300,0,1,0,0,0,0,0
A628_RS01305,0,1,0,0,0,0,0
A628_RS01310,0,1,1,0,0,0,0
A628_RS01320,1,0,0,0,0,0,0
A628_RS01325,0,0,0,1,0,0,0
A628_RS01350,0,1,0,0,0,0,1
A628_RS01355,0,1,0,0,0,0,1
A628_RS01360,0,0,0,0,1,0,0
A628_RS01365,0,0,0,0,1,0,0
A628_RS01370,0,0,0,0,0,0,1
A628_RS01375,0,0,0,0,0,1,0
A628_RS01390,0,0,1,0,0,0,0
A628_RS01400,0,0,0,1,1,0,0
A628_RS01405,0,0,0,1,0,0,1
A628_RS01410,1,0,0,0,0,0,0
A628_RS01425,0,1,0,0,0,0,0
A628_RS01435,0,1,1,0,0,0,0
A628_RS01440,0,0,0,1,0,1,0
A628_RS01450,0,1,0,1,0,0,1
A628_RS01465,0,0,0,1,0,0,0
A628_RS01475,1,0,0,0,0,0,0
A628_RS01490,0,0,0,0,1,1,0
A628_RS01495,0,1,0,0,1,1,0
A628_RS01505,0,0,0,0,0,1,0
A628_RS01510,1,0,0,1,1,1,0
A628_RS01515,1,0,0,0,0,0,0
A628_RS01525,0,0,0,1,0,0,0
A628_RS01530,0,0,0,1,1,0,0
A628_RS01535,0,0,0,0,1,1,0
A628_RS01540,1,0,0,0,1,1,0
A628_RS01545,0,0,0,0,1,1,0
A628_RS01555,1,0,0,0,0,1,0
A628_RS01560,0,0,0,0,0,1,0
A628_RS01565,1,0,0,0,0,0,0
A628_RS01570,0,0,0,0,1,0,0
A628_RS01575,0,1,0,0,0,0,0
A628_RS01580,0,1,0,0,0,0,0
A628_RS01585,0,1,1,0,0,0,0
A628_RS01590,0,1,1,0,0,0,0
A628_RS01610,0,0,0,0,0,0,1
A628_RS01650,0,0,0,0,0,1,1
A628_RS01655,0,0,1,0,0,0,0
A628_RS01665,0,0,0,1,0,0,0
A628_RS01670,0,0,1,1,0,0,0
A628_RS01675,1,0,0,0,0,0,0
A628_RS01680,0,0,0,1,0,0,0
A628_RS01690,0,0,0,0,0,1,0
A628_RS01700,0,1,0,0,0,0,0
A628_RS01710,0,0,0,1,0,0,0
A628_RS01715,0,0,0,0,1,0,0
A628_RS01720,1,0,0,1,0,1,0
A628_RS01735,0,1,0,1,0,0,1
A628_RS01755,0,0,0,0,1,0,0
A628_RS01765,0,0,0,0,0,0,1
A628_RS01770,0,0,1,0,0,0,1
A628_RS01775,0,0,0,0,1,0,0
A628_RS01785,0,0,0,0,0,1,0
A628_RS01790,0,0,0,0,0,1,0
A628_RS01795,0,0,0,1,1,0,0
A628_RS01800,0,0,0,1,1,0,0
A628_RS01805,0,1,0,0,0,0,0
A628_RS01815,0,0,0,0,1,1,0
A628_RS01825,1,0,0,0,0,0,0
A628_RS01840,1,0,0,0,0,0,0
A628_RS01845,0,0,0,0,0,0,1
A628_RS01850,1,0,0,0,0,1,0
A628_RS01855,1,0,0,0,0,0,0
A628_RS01860,0,1,0,0,0,0,0
A628_RS01865,0,1,0,0,0,0,0
A628_RS01870,0,1,0,0,0,0,0
A628_RS01875,1,0,0,0,1,0,0
A628_RS01880,0,0,0,1,0,1,0
A628_RS01885,1,0,0,1,0,1,0
A628_RS01890,0,0,0,0,1,0,0
A628_RS01895,0,0,0,1,0,0,0
A628_RS01900,1,0,0,0,0,0,0
A628_RS01905,1,0,0,0,0,0,0
A628_RS01910,0,0,0,1,1,0,0
A628_RS01915,0,0,1,0,0,0,0
A628_RS01930,1,0,0,0,1,0,0
A628_RS01935,1,0,0,0,1,0,1
A628_RS01940,0,0,1,0,0,0,0
A628_RS01945,0,0,0,1,0,0,0
A628_RS01950,0,0,0,1,0,0,0
A628_RS01960,0,0,0,0,0,1,0
A628_RS01970,0,0,0,1,1,0,0
A628_RS01975,0,0,0,1,0,0,0
A628_RS01985,0,0,0,1,0,0,0
A628_RS01995,1,0,0,0,0,1,0
A628_RS02000,0,0,0,1,1,0,1
A628_RS02010,1,0,0,0,0,1,0
A628_RS02015,0,0,0,0,0,1,0
A628_RS02020,0,1,0,0,0,0,0
A628_RS02035,0,0,0,1,0,1,0
A628_RS02040,1,0,0,1,0,1,1
A628_RS02045,0,0,0,0,0,1,0
A628_RS02050,0,0,1,0,1,0,0
A628_RS02055,0,0,1,0,1,0,0
A628_RS02060,1,0,0,0,0,0,0
A628_RS02065,0,0,0,1,0,0,0
A628_RS02080,1,0,0,0,0,0,0
A628_RS02085,0,1,0,1,0,0,0
A628_RS02090,1,1,0,0,1,0,0
A628_RS02095,0,0,0,0,0,1,0
A628_RS02100,0,0,0,1,0,0,0
A628_RS02105,0,1,1,0,0,0,0
A628_RS02115,0,1,0,0,0,0,0
A628_RS02120,0,0,0,0,0,0,1
A628_RS02125,0,0,0,1,0,1,0
A628_RS02130,1,0,0,0,0,0,0
A628_RS02135,1,0,0,0,0,0,0
A628_RS02150,0,1,0,0,0,0,0
A628_RS02155,0,0,0,1,1,1,0
A628_RS02160,0,0,0,0,0,1,0
A628_RS02165,1,0,1,0,1,1,0
A628_RS02170,0,1,1,0,0,1,0
A628_RS02175,0,0,0,1,1,0,1
A628_RS02180,0,0,0,0,0,1,0
A628_RS02185,1,0,0,0,0,0,0
A628_RS02195,0,0,0,0,1,0,0
A628_RS02200,0,0,0,0,1,1,0
A628_RS02225,0,1,0,0,0,0,0
A628_RS02230,0,0,0,0,1,0,0
A628_RS02240,0,0,0,0,1,0,0
A628_RS02245,0,1,0,0,0,0,0
A628_RS02250,0,1,0,0,0,0,0
A628_RS02260,1,1,0,0,0,0,0
A628_RS02265,1,0,0,0,1,0,0
A628_RS02270,0,0,0,0,1,1,0
A628_RS02275,0,0,0,0,1,0,0
A628_RS02285,0,1,0,0,0,0,0
A628_RS02290,1,0,0,0,1,1,0
A628_RS02295,1,0,0,0,1,0,0
A628_RS02300,0,0,0,1,0,0,0
A628_RS02305,1,0,0,1,0,0,0
A628_RS02310,0,1,0,0,0,0,0
A628_RS02320,0,1,0,0,0,0,0
A628_RS02325,0,0,1,0,0,0,0
A628_RS02330,0,0,1,0,1,0,0
A628_RS02335,0,0,1,0,0,0,0
A628_RS02355,0,0,0,0,0,0,1
A628_RS02360,0,0,0,0,1,0,1
A628_RS02370,0,0,1,0,0,0,0
A628_RS02375,0,1,0,0,1,1,1
A628_RS02380,0,0,1,0,1,1,0
A628_RS02390,0,0,0,0,0,1,0
A628_RS02410,0,0,0,0,1,0,1
A628_RS02415,0,0,0,1,0,0,0
A628_RS02420,1,0,0,0,1,0,0
A628_RS02455,0,0,0,1,0,0,0
A628_RS02460,0,1,1,0,0,0,0
A628_RS02465,0,0,1,0,0,0,0
A628_RS02470,0,0,1,0,0,1,0
A628_RS02500,1,0,0,1,0,1,0
A628_RS02505,0,0,0,1,0,0,0
A628_RS02510,0,0,0,1,0,0,1
A628_RS02515,1,0,0,0,0,0,0
A628_RS02520,0,0,0,1,1,0,1
A628_RS02535,0,0,1,0,0,0,0
A628_RS02550,0,0,1,0,0,0,0
A628_RS02560,1,0,0,0,0,1,0
A628_RS02565,1,0,0,0,0,0,0
A628_RS02570,1,0,0,0,0,0,0
A628_RS02585,0,0,0,0,1,0,0
A628_RS02600,0,1,1,0,0,0,0
A628_RS02610,1,0,0,0,0,0,0
A628_RS02620,0,0,1,0,0,0,1
A628_RS02625,0,1,0,0,0,0,0
A628_RS02650,0,0,1,0,1,0,0
A628_RS02655,0,0,0,0,1,1,0
A628_RS02660,0,0,0,0,0,1,0
A628_RS02665,1,0,0,0,0,0,0
A628_RS02700,0,0,0,0,0,1,0
A628_RS02705,0,0,0,0,0,1,0
A628_RS02710,0,0,1,0,0,0,0
A628_RS02715,0,0,1,0,0,0,0
A628_RS02720,0,0,1,0,0,0,0
A628_RS02725,1,0,0,0,1,0,0
A628_RS02730,0,0,1,0,0,1,0
A628_RS02740,0,0,1,0,0,0,0
A628_RS02745,0,1,0,0,0,0,1
A628_RS02750,0,0,1,0,0,0,0
A628_RS02755,0,0,0,1,1,0,0
A628_RS02760,0,0,0,0,1,0,0
A628_RS02765,0,1,0,0,0,0,0
A628_RS02770,1,0,0,0,1,1,0
A628_RS02775,1,0,0,0,1,0,0
A628_RS02780,0,0,0,0,1,0,0
A628_RS02785,1,0,0,0,0,1,0
A628_RS02790,0,0,0,1,0,1,0
A628_RS02810,0,1,0,0,1,0,0
A628_RS02815,0,0,0,0,1,1,0
A628_RS02820,1,0,0,0,1,1,1
A628_RS02825,1,0,0,0,1,0,0
A628_RS02830,0,0,0,0,0,0,1
A628_RS02850,0,0,1,0,0,0,0
A628_RS02870,0,0,0,1,1,0,0
A628_RS02875,0,0,0,0,1,0,0
A628_RS02880,1,0,0,0,1,0,1
A628_RS02895,0,0,0,1,0,0,0
A628_RS02900,0,0,0,1,0,1,0
A628_RS02910,0,0,0,0,0,0,1
A628_RS02920,1,0,0,0,0,0,0
A628_RS02925,0,0,0,0,0,1,1
A628_RS02930,0,0,0,0,0,0,1
A628_RS02940,1,0,1,0,0,0,0
A628_RS02945,0,0,1,1,0,0,0
A628_RS02950,0,0,0,0,0,1,0
A628_RS02955,0,0,0,0,0,1,0
A628_RS02960,0,0,0,0,0,1,0
A628_RS02975,0,1,0,0,0,0,0
A628_RS02985,0,0,1,0,0,0,0
A628_RS02995,0,0,0,0,1,0,0
A628_RS03000,1,0,0,1,0,1,0
A628_RS03010,0,0,0,0,0,1,0
A628_RS03015,1,0,0,0,0,0,0
A628_RS03045,0,0,0,1,1,0,0
A628_RS03050,0,0,0,1,1,1,0
A628_RS03060,0,0,0,0,0,0,1
A628_RS03065,1,0,0,0,0,0,0
A628_RS03075,0,0,0,0,1,1,0
A628_RS03090,0,0,0,0,0,0,1
A628_RS03095,0,0,0,0,1,0,0
A628_RS03105,0,0,0,0,1,0,0
A628_RS03110,1,0,0,0,0,1,0
A628_RS03115,0,0,0,0,1,0,0
A628_RS03120,0,1,0,0,0,0,1
A628_RS03130,0,0,1,0,0,0,1
A628_RS03135,1,0,0,0,0,1,0
A628_RS03140,0,0,0,0,0,1,0
A628_RS03145,0,1,0,0,1,0,0
A628_RS03150,0,0,1,0,0,0,0
A628_RS03155,1,0,0,1,0,0,0
A628_RS03165,0,1,0,0,0,0,1
A628_RS03170,0,0,0,0,0,1,0
A628_RS03175,0,1,0,0,0,0,0
A628_RS03190,0,0,0,1,0,0,0
A628_RS03195,0,0,0,0,0,1,0
A628_RS03210,1,0,0,1,0,0,0
A628_RS03215,0,0,1,0,0,0,0
A628_RS03230,1,0,0,0,0,0,0
A628_RS03235,0,0,1,0,0,0,0
A628_RS03240,0,0,1,0,1,0,0
A628_RS03245,1,0,0,0,0,1,0
A628_RS03250,0,0,0,1,0,0,0
A628_RS03265,0,0,0,1,0,0,0
A628_RS03280,1,0,0,1,0,1,0
A628_RS03295,0,0,1,0,0,0,0
A628_RS03300,0,0,0,0,0,1,0
A628_RS03305,0,0,0,0,1,0,1
A628_RS03315,1,0,0,0,0,0,0
A628_RS03320,0,1,0,0,1,0,0
A628_RS03325,0,0,1,0,0,0,0
A628_RS03330,1,0,0,0,0,0,0
A628_RS03335,0,0,1,0,1,0,0
A628_RS03340,0,0,1,0,0,0,0
A628_RS03345,0,0,0,0,0,0,1
A628_RS03355,0,0,0,1,1,0,0
A628_RS03360,0,0,0,0,0,1,0
A628_RS03365,0,0,0,0,0,1,0
A628_RS03375,0,0,1,0,0,0,0
A628_RS03395,1,0,0,0,0,0,0
A628_RS03405,0,0,0,0,0,0,1
A628_RS03410,0,0,1,0,0,0,0
A628_RS03415,1,0,0,0,0,0,0
A628_RS03420,1,0,0,0,0,0,0
A628_RS03425,0,0,0,1,0,0,0
A628_RS03435,0,0,0,0,0,1,0
A628_RS03445,1,0,0,1,0,0,0
A628_RS03450,1,0,0,0,0,0,0
A628_RS03455,1,0,0,1,0,0,0
A628_RS03460,1,0,0,1,0,1,0
A628_RS03465,0,0,0,0,1,0,0
A628_RS03470,0,0,0,1,0,0,0
A628_RS03475,0,0,1,0,0,0,1
A628_RS03480,1,0,0,1,0,0,0
A628_RS03485,1,0,0,1,0,0,0
A628_RS03490,0,0,0,1,1,1,0
A628_RS03495,0,0,0,1,0,1,0
A628_RS03500,0,1,0,0,0,1,0
A628_RS03505,0,0,1,0,0,0,1
A628_RS03515,0,0,1,0,0,0,0
A628_RS03520,1,0,1,1,0,0,0
A628_RS03525,1,0,1,1,0,0,0
A628_RS03530,0,0,1,0,0,0,0
A628_RS03540,0,1,0,0,0,0,0
A628_RS03545,1,0,0,0,0,0,0
A628_RS03550,0,0,0,0,0,1,0
A628_RS03560,0,0,0,0,0,0,1
A628_RS03575,1,0,0,0,1,1,1
A628_RS03580,0,0,1,0,0,0,1
A628_RS03590,1,0,0,0,1,0,0
A628_RS03595,0,1,1,0,0,0,0
A628_RS03600,0,1,1,0,0,0,0
A628_RS03610,0,0,0,0,0,1,0
A628_RS03615,1,0,0,1,0,0,0
A628_RS03635,0,0,1,0,0,0,0
A628_RS03660,0,0,0,0,0,1,0
A628_RS03665,0,0,0,0,0,1,0
A628_RS03670,0,0,0,0,0,1,0
A628_RS03675,1,0,0,1,0,0,0
A628_RS03680,0,0,0,0,1,0,0
A628_RS03685,0,0,1,1,0,0,0
A628_RS03690,0,0,0,0,0,0,1
A628_RS03695,0,0,0,0,0,0,1
A628_RS03700,0,0,0,0,0,0,1
A628_RS03710,0,1,0,0,0,0,0
A628_RS03715,0,0,0,1,0,0,0
A628_RS03720,0,0,1,0,0,0,0
A628_RS03725,1,0,0,0,0,0,0
A628_RS03730,0,0,0,0,0,1,0
A628_RS03735,0,0,0,0,1,1,0
A628_RS03740,0,0,0,1,0,1,0
A628_RS03745,0,0,0,1,0,0,0
A628_RS03760,0,0,1,0,0,0,0
A628_RS03770,0,0,0,0,0,1,1
A628_RS03785,0,0,0,0,1,1,0
A628_RS03790,1,0,0,0,0,0,0
A628_RS03805,0,0,0,0,1,0,0
A628_RS03810,0,0,0,0,1,0,0
A628_RS03815,0,0,1,0,0,0,0
A628_RS03820,0,0,0,1,0,0,1
A628_RS03825,0,0,0,0,0,0,1
A628_RS03835,0,0,0,0,0,1,0
A628_RS03840,0,0,0,0,0,1,0
A628_RS03850,1,0,0,0,0,0,0
A628_RS03855,0,0,0,1,1,0,0
A628_RS03865,0,0,0,0,1,1,0
A628_RS03870,1,0,0,1,1,0,0
A628_RS03875,0,0,0,0,1,1,0
A628_RS03880,0,0,0,0,0,1,0
A628_RS03885,0,0,0,0,0,0,1
A628_RS03890,0,0,0,0,0,1,0
A628_RS03895,0,0,0,0,1,0,0
A628_RS03900,0,0,0,0,1,0,0
A628_RS03905,1,0,0,1,0,0,0
A628_RS03910,0,0,1,0,0,0,0
A628_RS03925,1,0,0,0,0,1,0
A628_RS03930,1,0,1,1,0,1,0
A628_RS03940,0,0,1,0,0,1,0
A628_RS03945,0,0,1,0,0,0,0
A628_RS03950,0,0,0,1,0,0,0
A628_RS03960,1,1,0,0,0,1,0
A628_RS03970,0,0,0,0,0,0,1
A628_RS03975,0,0,0,0,1,0,0
A628_RS03985,0,1,0,0,0,0,0
A628_RS03995,0,0,0,0,0,1,0
A628_RS04010,0,0,0,0,0,1,0
A628_RS04015,0,0,0,0,0,1,0
A628_RS04025,0,0,0,0,1,0,0
A628_RS04040,1,0,0,1,0,0,1
A628_RS04050,0,0,0,1,0,0,0
A628_RS04055,0,0,0,1,1,0,0
A628_RS04080,1,0,0,0,1,0,0
A628_RS04085,0,0,0,0,0,1,0
A628_RS04090,0,0,0,0,1,0,0
A628_RS04100,1,0,0,0,1,0,1
A628_RS04110,1,0,0,0,0,0,0
A628_RS04115,0,1,0,0,0,0,0
A628_RS04120,0,0,0,0,0,0,1
A628_RS04125,0,0,1,0,0,0,0
A628_RS04140,0,1,1,0,0,0,0
A628_RS04145,0,1,1,0,0,0,0
A628_RS04150,1,0,0,1,0,1,0
A628_RS04160,0,0,0,1,0,0,0
A628_RS04175,0,0,0,0,0,1,1
A628_RS04180,1,0,0,0,0,0,0
A628_RS04185,0,0,0,1,0,0,0
A628_RS04195,0,0,0,0,0,1,0
A628_RS04215,1,0,1,1,0,0,0
A628_RS04220,0,1,0,0,0,0,0
A628_RS04225,0,0,0,0,1,0,0
A628_RS04235,0,0,0,1,0,0,0
A628_RS04245,0,0,0,0,1,0,0
A628_RS04260,0,0,0,0,1,0,0
A628_RS04265,0,0,1,1,0,0,0
A628_RS04270,1,0,0,0,0,0,0
A628_RS04290,0,0,0,1,0,1,0
A628_RS04295,0,0,0,0,1,0,0
A628_RS04300,0,0,1,0,1,0,0
A628_RS04305,0,0,0,1,0,0,0
A628_RS04310,0,0,1,0,0,0,0
A628_RS04320,0,0,0,0,0,1,0
A628_RS04330,0,0,1,0,0,0,0
A628_RS04335,1,0,0,1,1,0,0
A628_RS04345,0,0,0,1,0,1,0
A628_RS04350,1,0,0,0,0,0,0
A628_RS04355,0,0,0,0,1,0,0
A628_RS04360,0,0,1,0,0,0,0
A628_RS04365,0,0,0,1,0,0,0
A628_RS04380,0,0,0,0,1,1,1
A628_RS04385,1,0,0,0,0,0,0
A628_RS04390,0,0,0,0,1,0,0
A628_RS04400,0,0,0,1,0,1,0
A628_RS04405,1,0,1,0,0,0,0
A628_RS04410,1,0,1,0,0,0,1
A628_RS04415,1,0,0,0,0,0,0
A628_RS04420,1,0,0,0,0,0,0
A628_RS04425,1,0,0,0,0,0,0
A628_RS04430,0,1,1,0,1,0,0
A628_RS04435,0,0,1,0,0,0,1
A628_RS04445,0,0,0,0,0,1,0
A628_RS04450,1,0,0,1,0,0,0
A628_RS04455,1,0,0,1,0,0,0
A628_RS04465,0,0,0,1,0,0,0
A628_RS04470,0,0,0,1,0,0,0
A628_RS04475,0,0,0,0,0,1,0
A628_RS04480,0,0,0,0,0,1,0
A628_RS04485,1,0,0,0,0,0,0
A628_RS04490,0,0,1,0,0,0,1
A628_RS04515,0,0,0,1,0,1,0
A628_RS04525,1,0,0,0,0,0,0
A628_RS04530,0,0,0,0,1,0,1
A628_RS04535,0,0,0,0,1,0,1
A628_RS04545,1,0,0,1,1,1,0
A628_RS04555,0,1,0,0,0,0,1
A628_RS04560,0,1,0,0,0,0,0
A628_RS04565,0,1,1,0,0,0,0
A628_RS04570,0,1,0,0,0,0,0
A628_RS04575,0,1,0,0,0,0,0
A628_RS04590,1,0,0,0,0,0,0
A628_RS04595,0,0,1,0,0,0,0
A628_RS04620,0,0,0,0,1,0,0
A628_RS04625,1,0,0,0,0,0,0
A628_RS04630,0,0,0,0,1,0,0
A628_RS04635,0,0,0,0,1,0,0
A628_RS04640,0,1,0,0,1,0,0
A628_RS04650,0,0,0,1,0,0,1
A628_RS04670,0,0,0,1,0,0,0
A628_RS04675,0,1,1,0,0,0,0
A628_RS04680,1,0,0,0,0,0,0
A628_RS04685,1,0,0,0,0,0,0
A628_RS04690,0,0,0,0,0,0,1
A628_RS04695,0,0,1,1,0,0,0
A628_RS04700,0,0,0,0,0,0,1
A628_RS04705,0,0,0,1,1,0,0
A628_RS04710,0,1,0,0,0,0,0
A628_RS04715,0,1,0,0,0,0,0
A628_RS04725,0,0,0,1,0,0,0
A628_RS04735,0,0,0,0,0,1,0
A628_RS04745,0,1,0,0,0,0,1
A628_RS04750,0,0,0,0,0,0,1
A628_RS04755,0,0,0,1,0,0,0
A628_RS04765,0,0,0,0,0,1,1
A628_RS04770,1,0,0,0,0,0,0
A628_RS04785,1,0,0,0,1,0,0
A628_RS04800,1,0,0,0,0,0,0
A628_RS04805,0,0,0,1,0,0,0
A628_RS04815,0,0,0,0,1,0,0
A628_RS04820,0,0,0,0,1,0,0
A628_RS04825,0,0,0,0,1,0,0
A628_RS04830,0,0,0,0,1,0,1
A628_RS04845,0,0,0,1,1,1,0
A628_RS04850,0,0,0,1,0,0,0
A628_RS04865,0,0,0,0,1,1,0
A628_RS04870,1,0,0,0,0,0,0
A628_RS04875,0,0,0,1,0,0,0
A628_RS04880,0,0,0,0,0,1,0
A628_RS04885,0,0,0,1,0,0,0
